year,member,member_id,chamber,party,source,source_url
2025,"H. Otto Wachsmann, Jr.",H0347,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0347
2025,Wendell S. Walker,H0325,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0325
2025,Jeion A. Ward,H0173,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0173
2025,R. Lee Ware,H0124,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0124
2025,Vivian E. Watts,H0108,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0108
2025,Michael J. Webert,H0247,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0247
2025,Bill Wiley,H0329,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0329
2025,Rodney T. Willett,H0327,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0327
2025,Wren M. Williams,H0348,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0348
2025,Tony O. Wilt,H0231,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0231
2025,"Thomas C. Wright, Jr.",H0136,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0136
2025,Scott A. Wyatt,H0328,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0328
2025,Eric R. Zehr,H0383,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0383
2025,Lashrecse D. Aird,S0115,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S115
2025,Lamont Bagby,S0114,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S114
2025,Jennifer B. Boysko,S0106,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S106
2025,Jennifer D. Carroll Foy,S0117,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S117
2025,"Luther Cifers, III",S0132,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S132
2025,Christie New Craig,S0118,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118
2025,R. Creigh Deeds,S0062,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S62
2025,Bill DeSteph,S0096,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96
2025,"J.D. ""Danny"" Diggs",S0119,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S119
2025,Tara A. Durant,S0120,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S120
2025,Adam P. Ebbin,S0085,Senate,D,verified fallback reference,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S85
2025,Barbara A. Favola,S0086,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S86
2025,Timmy French,S0121,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S121
2025,T. Travis Hackworth,S0112,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S112
2025,Ghazala F. Hashmi,S0108,Senate,D,verified fallback reference,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S108
2025,Christopher T. Head,S0122,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S122
2025,Emily M. Jordan,S0116,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S116
2025,Mamie E. Locke,S0067,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S67
2025,L. Louise Lucas,S0019,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S19
2025,David W. Marsden,S0080,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S80
2025,Ryan T. McDougle,S0069,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S69
2025,Jeremy S. McPike,S0098,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S98
2025,Tammy Brankley Mulchi,S0131,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S131
2025,Mark D. Obenshain,S0068,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S68
2025,Mark J. Peake,S0105,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S105
2025,Stella G. Pekarsky,S0124,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S124
2025,Russet Perry,S0125,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S125
2025,Todd E. Pillion,S0111,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S111
2025,Bryce E. Reeves,S0088,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S88
2025,Danica A. Roem,S0126,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S126
2025,Aaron R. Rouse,S0113,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S113
2025,Saddam Azlan Salim,S0127,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S127
2025,Kannan Srinivasan,S0133,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S133
2025,"William M. Stanley, Jr.",S0082,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S82
2025,Richard H. Stuart,S0078,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S78
2025,"Glen H. Sturtevant, Jr.",S0099,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S99
2025,David R. Suetterlein,S0101,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S101
2025,Scott A. Surovell,S0100,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S100
2025,Schuyler T. VanValkenburg,S0129,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S129
2025,Angelia Williams Graves,S0130,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S130
2026,Jessica L. Anderson,H0386,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0386
2026,Bonita G. Anthony,H0353,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0353
2026,Alex Q. Askew,H0311,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0311
2026,Terry L. Austin,H0253,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0253
2026,Jason S. Ballard,H0333,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0333
2026,Elizabeth B. Bennett-Parker,H0334,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0334
2026,"Robert S. Bloxom, Jr.",H0267,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0267
2026,David L. Bulova,H0177,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0177
2026,Gretchen M. Bulova,H0403,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0403
2026,Katrina Callsen,H0354,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0354
2026,"Karen R. ""Kacey"" Carnegie",H0387,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0387
2026,Betsy B. Carr,H0212,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0212
2026,Stacey Annie Carroll,H0388,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0388
2026,Mike A. Cherry,H0335,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0335
2026,Nadarius E. Clark,H0336,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0336
2026,Laura Jane Cohen,H0355,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0355
2026,Joshua G. Cole,H0314,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0314
2026,Nicole Cole,H0389,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0389
2026,Kelly K. Convirs-Fowler,H0295,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0295
2026,Mitchell Cornett,H0390,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0390
2026,Rae Cousins,H0356,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0356
2026,Will Davis,H0357,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0357
2026,Karrie K. Delaney,H0294,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0294
2026,Lindsey Dougherty,H0391,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0391
2026,Mark C. Downey,H0392,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0392
2026,Michael B. Feggans,H0360,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0360
2026,"Hyland F. ""Buddy"" Fowler, Jr.",H0259,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0259
2026,Lily V. Franklin,H0393,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0393
2026,Margaret A. Franklin,H0404,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0404
2026,Debra D. Gardner,H0361,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0361
2026,"Thomas A. Garrett, Jr.",H0362,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0362
2026,Jackie H. Glass,H0349,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0349
2026,Timothy P. Griffin,H0364,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0364
2026,Elizabeth R. Guzman,H0297,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0297
2026,Karen Hamilton,H0394,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0394
2026,"C.E. Cliff Hayes, Jr.",H0285,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0285
2026,Dan I. Helmer,H0317,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0317
