Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
SB697,"Counties, Cities, and Towns",Official LIS subject,"Counties, Cities, and Towns",,CIBillSubjects.csv,"Counties, Cities, and Towns",False,
SB697,Solar Energy,Official LIS subject,Solar Energy,,CIBillSubjects.csv,Solar Energy,False,
SB698,Conservation,Official LIS subject,Conservation,,CIBillSubjects.csv,Conservation,False,
SB698,Dams,Official LIS subject,Dams,,CIBillSubjects.csv,Dams,False,
SB708,Public Service Companies,Official LIS subject,Public Service Companies,,CIBillSubjects.csv,Public Service Companies,False,
SB711,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB714,Motor Vehicles,Official LIS subject,Motor Vehicles,,CIBillSubjects.csv,Motor Vehicles,False,
SB714,Northern Virginia,Official LIS subject,Northern Virginia,,CIBillSubjects.csv,Northern Virginia,False,
SB717,Educational Institutions,Official LIS subject,Higher Education,Educational Institutions,CIBillSubjects.csv,Higher Education,False,
SB717,Institutions of Higher Education; Other Educational and Cultural Institutions,Official LIS subject,Institutions of Higher Education; Other Educational and Cultural Institutions,,CIBillSubjects.csv,Institutions of Higher Education; Other Educational and Cultural Institutions,False,
SB721,"Counties, Cities, and Towns",Official LIS subject,"Counties, Cities, and Towns",,CIBillSubjects.csv,"Counties, Cities, and Towns",False,
SB721,Local Government and Officials,Official LIS subject,Local Government and Officials,,CIBillSubjects.csv,Local Government and Officials,False,
SB721,Ordinances,Official LIS subject,Ordinances,,CIBillSubjects.csv,Ordinances,False,
SB721,Plats,Official LIS subject,Plats,,CIBillSubjects.csv,Plats,False,
SB721,Zoning,Official LIS subject,Zoning,,CIBillSubjects.csv,Zoning,False,
SB730,"Commissions, Boards, and Institutions Generally",Official LIS subject,"Commissions, Boards, and Institutions Generally",,CIBillSubjects.csv,"Commissions, Boards, and Institutions Generally",False,
SB730,Fisheries and Habitat of the Tidal Waters,Official LIS subject,Fisheries and Habitat of the Tidal Waters,,CIBillSubjects.csv,Fisheries and Habitat of the Tidal Waters,False,
SB733,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
SB733,Governor,Official LIS subject,Governor,,CIBillSubjects.csv,Governor,False,
SB735,Insurance,Official LIS subject,Insurance,,CIBillSubjects.csv,Insurance,False,
SB735,Insurance,Official LIS subject,Health Insurance,Insurance,CIBillSubjects.csv,Health Insurance,False,
SJ1,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SJ1,Administration of Government,Official LIS subject,Human Rights,Administration of Government,CIBillSubjects.csv,Human Rights,False,
SJ2,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SJ2,Elections,Official LIS subject,Elections,,CIBillSubjects.csv,Elections,False,
