member_id,MBR_NAME,party,topic_name,topic_vote_events,eligible_topic_events,party_break_events,cross_party_events,cross_party_pct
H0262,"James A. ""Jay"" Leftwich",R,Education,202,199,19,10,5.025125628140704
H0329,Bill Wiley,R,Transportation,202,201,10,10,4.975124378109453
H0253,Terry L. Austin,R,Education,260,258,18,10,3.875968992248062
H0385,JJ Singh,D,Unclassified,438,433,15,10,2.3094688221709005
H0124,R. Lee Ware,R,Unclassified,463,455,24,10,2.197802197802198
H0314,Joshua G. Cole,D,Unclassified,534,524,15,10,1.9083969465648856
H0253,Terry L. Austin,R,Environment and Conservation,58,57,9,9,15.789473684210526
H0382,Joshua E. Thomas,D,Taxes and Revenue,59,58,9,9,15.517241379310345
H0335,Mike A. Cherry,R,Housing,89,89,10,9,10.112359550561797
H0231,Tony O. Wilt,R,Housing,93,93,13,9,9.67741935483871
H0347,"H. Otto Wachsmann, Jr.",R,Local Government,105,105,10,9,8.571428571428571
H0348,Wren M. Williams,R,Local Government,117,109,16,9,8.256880733944955
H0382,Joshua E. Thomas,D,Firearms,113,113,9,9,7.964601769911504
H0399,Kimberly Pope Adams,D,Firearms,122,115,9,9,7.82608695652174
H0395,John Chilton McAuliff,D,Criminal Justice,140,119,9,9,7.563025210084033
H0382,Joshua E. Thomas,D,Transportation,205,204,10,9,4.411764705882353
H0350,Ellen H. McLaughlin,R,Labor and Employment,228,216,10,9,4.166666666666666
H0056,Terry G. Kilgore,R,Education,226,224,14,9,4.017857142857143
H0231,Tony O. Wilt,R,Energy and Utilities,282,277,22,9,3.2490974729241873
H0328,Scott A. Wyatt,R,Taxes and Revenue,59,59,11,8,13.559322033898304
H0308,Joseph P. McNamara,R,Business and Commerce,65,63,9,8,12.698412698412698
H0284,"Marcia S. ""Cia"" Price",D,Taxes and Revenue,64,64,13,8,12.5
H0253,Terry L. Austin,R,"Study Commissions, Committees, and Reports",84,84,9,8,9.523809523809524
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Business and Commerce,90,87,8,8,9.195402298850574
H0395,John Chilton McAuliff,D,Local Government,104,94,8,8,8.51063829787234
H0345,Anne Ferrell Tata,R,Housing,98,97,9,8,8.24742268041237
H0267,"Robert S. Bloxom, Jr.",R,Business and Commerce,108,107,9,8,7.476635514018691
