year,party,topic_name,voting_tendency,delegates
2026,D,"Study Commissions, Committees, and Reports",YES,65
2026,R,"Study Commissions, Committees, and Reports",INSUFFICIENT DATA,2
2026,R,"Study Commissions, Committees, and Reports",MIXED,32
2026,R,"Study Commissions, Committees, and Reports",NO,3
2026,D,Taxes and Revenue,YES,65
2026,R,Taxes and Revenue,INSUFFICIENT DATA,2
2026,R,Taxes and Revenue,MIXED,25
2026,R,Taxes and Revenue,NO,7
2026,R,Taxes and Revenue,YES,3
2026,D,Technology and Data,YES,65
2026,R,Technology and Data,INSUFFICIENT DATA,1
2026,R,Technology and Data,MIXED,11
2026,R,Technology and Data,YES,24
2026,D,Trade and Commerce,INSUFFICIENT DATA,65
2026,R,Trade and Commerce,INSUFFICIENT DATA,36
2026,D,Transportation,YES,65
2026,R,Transportation,INSUFFICIENT DATA,1
2026,R,Transportation,MIXED,24
2026,R,Transportation,NO,6
2026,R,Transportation,YES,6
2026,D,Unclassified,INSUFFICIENT DATA,3
2026,D,Unclassified,YES,65
2026,R,Unclassified,INSUFFICIENT DATA,1
2026,R,Unclassified,MIXED,28
2026,R,Unclassified,NO,1
2026,R,Unclassified,YES,7
2026,D,Uncodified Legislation,INSUFFICIENT DATA,50
2026,D,Uncodified Legislation,YES,15
2026,R,Uncodified Legislation,INSUFFICIENT DATA,31
2026,R,Uncodified Legislation,MIXED,2
2026,R,Uncodified Legislation,NO,3
2026,R,Uncodified Legislation,YES,1
2026,D,Unemployment Compensation,INSUFFICIENT DATA,64
2026,R,Unemployment Compensation,INSUFFICIENT DATA,36
2026,D,"Wills, Trusts, and Fiduciaries",INSUFFICIENT DATA,64
2026,R,"Wills, Trusts, and Fiduciaries",INSUFFICIENT DATA,35
2026,D,Wind Energy,INSUFFICIENT DATA,64
2026,R,Wind Energy,INSUFFICIENT DATA,35
