year,Bill_id,vote_id,vote_date,member_id,recorded_vote,vote_statement,intended_vote,intended_vote_explicit
2026,HB701,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB733,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB795,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1006,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1166,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1188,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1214,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1256,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1357,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1400,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
