member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0355,Laura Jane Cohen,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,173.0,61.0,173.0,53.0,-120.0,0.0,2.0,2.0,0.0,3.7735849056603774,3.7735849056603774,0.0,2.0,2.0,Laura Jane Cohen,Laura Jane Cohen,D,D
H0348,Wren M. Williams,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,203.0,81.0,202.0,78.0,-124.0,8.0,6.0,-2.0,3.96039603960396,7.6923076923076925,3.7319116527037326,19.0,7.0,-12.0,Wren M. Williams,Wren M. Williams,R,R
H0208,Charniele L. Herring,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,178.0,72.0,177.0,72.0,-105.0,1.0,3.0,2.0,0.5649717514124294,4.166666666666666,3.6016949152542366,1.0,5.0,4.0,Charniele L. Herring,Charniele L. Herring,D,D
H0267,"Robert S. Bloxom, Jr.",R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,194.0,92.0,193.0,92.0,-101.0,8.0,7.0,-1.0,4.145077720207254,7.608695652173914,3.4636179319666596,8.0,7.0,-1.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0366,Phil M. Hernandez,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,299.0,90.0,292.0,89.0,-203.0,0.0,3.0,3.0,0.0,3.3707865168539324,3.3707865168539324,0.0,5.0,5.0,Phil M. Hernandez,Phil M. Hernandez,D,D
H0343,Briana D. Sewell,D,Local Government,Derived from LIS bill summary,Present both years,True,True,223.0,77.0,222.0,71.0,-151.0,2.0,3.0,1.0,0.9009009009009008,4.225352112676056,3.3244512117751555,7.0,4.0,-3.0,Briana D. Sewell,Briana D. Sewell,D,D
H0124,R. Lee Ware,R,Local Government,Derived from LIS bill summary,Present both years,True,True,160.0,57.0,157.0,56.0,-101.0,6.0,4.0,-2.0,3.821656050955414,7.142857142857142,3.3212010919017283,9.0,4.0,-5.0,R. Lee Ware,R. Lee Ware,R,R
H0321,Chris S. Runion,R,Education,Derived from LIS bill summary,Present both years,True,True,205.0,93.0,202.0,93.0,-109.0,2.0,4.0,2.0,0.99009900990099,4.301075268817205,3.310976258916215,16.0,6.0,-10.0,Chris S. Runion,Chris S. Runion,R,R
H0355,Laura Jane Cohen,D,Local Government,Derived from LIS bill summary,Present both years,True,True,194.0,75.0,193.0,62.0,-131.0,0.0,2.0,2.0,0.0,3.225806451612903,3.225806451612903,0.0,2.0,2.0,Laura Jane Cohen,Laura Jane Cohen,D,D
H0239,Alfonso H. Lopez,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,203.0,82.0,200.0,81.0,-119.0,1.0,3.0,2.0,0.5,3.7037037037037033,3.2037037037037033,1.0,3.0,2.0,Alfonso H. Lopez,Alfonso H. Lopez,D,D
H0356,Rae Cousins,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,342.0,117.0,336.0,116.0,-220.0,1.0,4.0,3.0,0.2976190476190476,3.4482758620689653,3.150656814449918,8.0,4.0,-4.0,Rae Cousins,Rae Cousins,D,D
H0325,Wendell S. Walker,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,149.0,67.0,149.0,67.0,-82.0,2.0,3.0,1.0,1.342281879194631,4.477611940298507,3.1353300611038764,4.0,3.0,-1.0,Wendell S. Walker,Wendell S. Walker,R,R
H0317,Dan I. Helmer,D,Local Government,Derived from LIS bill summary,Present both years,True,True,159.0,69.0,158.0,65.0,-93.0,0.0,2.0,2.0,0.0,3.076923076923077,3.076923076923077,1.0,2.0,1.0,Dan I. Helmer,Dan I. Helmer,D,D
H0212,Betsy B. Carr,D,Transportation,Derived from LIS bill summary,Present both years,True,True,160.0,70.0,156.0,69.0,-87.0,0.0,2.0,2.0,0.0,2.898550724637681,2.898550724637681,1.0,2.0,1.0,Betsy B. Carr,Betsy B. Carr,D,D
H0242,Israel D. O'Quinn,R,Education,Derived from LIS bill summary,Present both years,True,True,201.0,102.0,197.0,102.0,-95.0,4.0,5.0,1.0,2.030456852791878,4.901960784313726,2.871503931521848,10.0,5.0,-5.0,Israel D. O'Quinn,Israel D. O'Quinn,R,R
H0242,Israel D. O'Quinn,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,177.0,78.0,175.0,78.0,-97.0,2.0,3.0,1.0,1.1428571428571428,3.8461538461538463,2.7032967032967035,5.0,5.0,0.0,Israel D. O'Quinn,Israel D. O'Quinn,R,R
H0262,"James A. ""Jay"" Leftwich",R,Education,Derived from LIS bill summary,Present both years,True,True,216.0,94.0,213.0,92.0,-121.0,6.0,5.0,-1.0,2.8169014084507045,5.434782608695652,2.617881200244948,17.0,6.0,-11.0,"James A. ""Jay"" Leftwich","James A. ""Jay"" Leftwich",R,R
H0345,Anne Ferrell Tata,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,217.0,76.0,216.0,75.0,-141.0,3.0,3.0,0.0,1.3888888888888888,4.0,2.611111111111111,3.0,5.0,2.0,Anne Ferrell Tata,Anne Ferrell Tata,R,R
H0321,Chris S. Runion,R,Energy and Utilities,Derived from LIS bill summary,Present both years,True,True,147.0,50.0,139.0,50.0,-89.0,2.0,2.0,0.0,1.4388489208633095,4.0,2.5611510791366907,8.0,3.0,-5.0,Chris S. Runion,Chris S. Runion,R,R
H0343,Briana D. Sewell,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,207.0,75.0,207.0,75.0,-132.0,3.0,3.0,0.0,1.4492753623188406,4.0,2.550724637681159,4.0,3.0,-1.0,Briana D. Sewell,Briana D. Sewell,D,D
H0281,Paul E. Krizek,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,206.0,81.0,205.0,80.0,-125.0,0.0,2.0,2.0,0.0,2.5,2.5,0.0,3.0,3.0,Paul E. Krizek,Paul E. Krizek,D,D
H0321,Chris S. Runion,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,205.0,83.0,205.0,81.0,-124.0,0.0,2.0,2.0,0.0,2.469135802469136,2.469135802469136,5.0,5.0,0.0,Chris S. Runion,Chris S. Runion,R,R
H0253,Terry L. Austin,R,Local Government,Derived from LIS bill summary,Present both years,True,True,191.0,65.0,190.0,65.0,-125.0,13.0,6.0,-7.0,6.842105263157896,9.230769230769232,2.388663967611336,14.0,6.0,-8.0,Terry L. Austin,Terry L. Austin,R,R
H0219,Patrick A. Hope,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,348.0,91.0,281.0,88.0,-193.0,3.0,3.0,0.0,1.0676156583629894,3.4090909090909087,2.3414752507279193,4.0,3.0,-1.0,Patrick A. Hope,Patrick A. Hope,D,D
H0380,Atoosa R. Reaser,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,251.0,75.0,248.0,74.0,-174.0,1.0,2.0,1.0,0.4032258064516129,2.702702702702702,2.299476896251089,1.0,2.0,1.0,Atoosa R. Reaser,Atoosa R. Reaser,D,D
H0343,Briana D. Sewell,D,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,218.0,92.0,217.0,90.0,-127.0,0.0,2.0,2.0,0.0,2.2222222222222223,2.2222222222222223,2.0,2.0,0.0,Briana D. Sewell,Briana D. Sewell,D,D
H0231,Tony O. Wilt,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,191.0,78.0,191.0,77.0,-114.0,1.0,2.0,1.0,0.5235602094240838,2.5974025974025974,2.0738423879785137,3.0,2.0,-1.0,Tony O. Wilt,Tony O. Wilt,R,R
H0253,Terry L. Austin,R,Education,Derived from LIS bill summary,Present both years,True,True,235.0,125.0,232.0,125.0,-107.0,12.0,9.0,-3.0,5.172413793103448,7.199999999999999,2.027586206896551,18.0,11.0,-7.0,Terry L. Austin,Terry L. Austin,R,R
H0295,Kelly K. Convirs-Fowler,D,Local Government,Derived from LIS bill summary,Present both years,True,True,145.0,57.0,141.0,50.0,-91.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,Kelly K. Convirs-Fowler,Kelly K. Convirs-Fowler,D,D
H0349,Jackie H. Glass,D,Local Government,Derived from LIS bill summary,Present both years,True,True,167.0,53.0,161.0,51.0,-110.0,0.0,1.0,1.0,0.0,1.96078431372549,1.96078431372549,0.0,1.0,1.0,Jackie H. Glass,Jackie H. Glass,D,D
H0301,David A. Reid,D,Health and Healthcare,Derived from LIS bill summary,Present both years,True,True,146.0,53.0,146.0,51.0,-95.0,0.0,1.0,1.0,0.0,1.96078431372549,1.96078431372549,0.0,1.0,1.0,David A. Reid,David A. Reid,D,D
H0375,Adele Y. McClure,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,212.0,84.0,206.0,82.0,-124.0,1.0,2.0,1.0,0.4854368932038834,2.4390243902439024,1.953587497040019,1.0,2.0,1.0,Adele Y. McClure,Adele Y. McClure,D,D
H0227,Luke E. Torian,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,209.0,84.0,192.0,67.0,-125.0,2.0,2.0,0.0,1.0416666666666663,2.985074626865672,1.9434079601990055,2.0,4.0,2.0,Luke E. Torian,Luke E. Torian,D,D
H0224,James W. Morefield,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,188.0,90.0,183.0,87.0,-96.0,5.0,4.0,-1.0,2.73224043715847,4.597701149425287,1.8654607122668172,5.0,4.0,-1.0,James W. Morefield,James W. Morefield,R,R
H0350,Ellen H. McLaughlin,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,201.0,91.0,195.0,89.0,-106.0,3.0,3.0,0.0,1.5384615384615383,3.3707865168539324,1.832324978392394,3.0,3.0,0.0,Ellen H. Campbell,Ellen H. McLaughlin,R,R
H0357,Will Davis,R,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,233.0,86.0,231.0,86.0,-145.0,4.0,3.0,-1.0,1.7316017316017316,3.488372093023256,1.7567703614215242,7.0,3.0,-4.0,Will Davis,Will Davis,R,R
H0382,Joshua E. Thomas,D,Education,Derived from LIS bill summary,Present both years,True,True,216.0,119.0,214.0,118.0,-96.0,0.0,2.0,2.0,0.0,1.694915254237288,1.694915254237288,0.0,2.0,2.0,Joshua E. Thomas,Joshua E. Thomas,D,D
H0362,"Thomas A. Garrett, Jr.",R,Education,Derived from LIS bill summary,Present both years,True,True,343.0,123.0,318.0,116.0,-202.0,3.0,3.0,0.0,0.9433962264150944,2.586206896551724,1.6428106701366298,35.0,12.0,-23.0,"Thomas A. Garrett, Jr.","Thomas A. Garrett, Jr.",R,R
H0374,Marty Martinez,D,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,144.0,63.0,143.0,61.0,-82.0,0.0,1.0,1.0,0.0,1.639344262295082,1.639344262295082,0.0,1.0,1.0,Marty Martinez,Marty Martinez,D,D
H0374,Marty Martinez,D,Local Government,Derived from LIS bill summary,Present both years,True,True,172.0,65.0,171.0,62.0,-109.0,0.0,1.0,1.0,0.0,1.6129032258064515,1.6129032258064515,0.0,1.0,1.0,Marty Martinez,Marty Martinez,D,D
H0347,"H. Otto Wachsmann, Jr.",R,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,179.0,61.0,179.0,61.0,-118.0,6.0,3.0,-3.0,3.35195530726257,4.918032786885246,1.5660774796226762,13.0,5.0,-8.0,"H. Otto Wachsmann, Jr.","H. Otto Wachsmann, Jr.",R,R
H0362,"Thomas A. Garrett, Jr.",R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,176.0,69.0,158.0,68.0,-90.0,0.0,1.0,1.0,0.0,1.4705882352941175,1.4705882352941175,13.0,8.0,-5.0,"Thomas A. Garrett, Jr.","Thomas A. Garrett, Jr.",R,R
H0333,Jason S. Ballard,R,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,247.0,74.0,243.0,74.0,-169.0,3.0,2.0,-1.0,1.2345679012345678,2.702702702702702,1.4681348014681344,13.0,2.0,-11.0,Jason S. Ballard,Jason S. Ballard,R,R
H0266,Sam Rasoul,D,Local Government,Derived from LIS bill summary,Present both years,True,True,163.0,59.0,149.0,58.0,-91.0,3.0,2.0,-1.0,2.013422818791946,3.4482758620689653,1.4348530432770192,4.0,2.0,-2.0,Sam Rasoul,Sam Rasoul,D,D
H0340,Michelle Lopes Maldonado,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,240.0,75.0,238.0,74.0,-164.0,0.0,1.0,1.0,0.0,1.351351351351351,1.351351351351351,1.0,1.0,0.0,Michelle Lopes Maldonado,Michelle Lopes Maldonado,D,D
H0238,M. Keith Hodges,R,Education,Derived from LIS bill summary,Present both years,True,True,272.0,130.0,270.0,126.0,-144.0,5.0,4.0,-1.0,1.851851851851852,3.1746031746031744,1.3227513227513223,9.0,6.0,-3.0,M. Keith Hodges,M. Keith Hodges,R,R
H0335,Mike A. Cherry,R,Education,Derived from LIS bill summary,Present both years,True,True,464.0,162.0,446.0,157.0,-289.0,17.0,8.0,-9.0,3.811659192825112,5.095541401273886,1.283882208448774,38.0,10.0,-28.0,Mike A. Cherry,Mike A. Cherry,R,R
H0247,Michael J. Webert,R,Local Government,Derived from LIS bill summary,Present both years,True,True,167.0,60.0,159.0,58.0,-101.0,9.0,4.0,-5.0,5.660377358490567,6.896551724137931,1.236174365647364,27.0,7.0,-20.0,Michael J. Webert,Michael J. Webert,R,R
H0247,Michael J. Webert,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,183.0,84.0,180.0,81.0,-99.0,0.0,1.0,1.0,0.0,1.2345679012345678,1.2345679012345678,8.0,3.0,-5.0,Michael J. Webert,Michael J. Webert,R,R
H0314,Joshua G. Cole,D,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,169.0,81.0,158.0,81.0,-77.0,0.0,1.0,1.0,0.0,1.2345679012345678,1.2345679012345678,1.0,1.0,0.0,Joshua G. Cole,Joshua G. Cole,D,D
H0266,Sam Rasoul,D,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,253.0,86.0,221.0,82.0,-139.0,0.0,1.0,1.0,0.0,1.2195121951219512,1.2195121951219512,1.0,1.0,0.0,Sam Rasoul,Sam Rasoul,D,D
H0136,"Thomas C. Wright, Jr.",R,Education,Derived from LIS bill summary,Present both years,True,True,195.0,93.0,172.0,85.0,-87.0,0.0,1.0,1.0,0.0,1.1764705882352942,1.1764705882352942,24.0,9.0,-15.0,"Thomas C. Wright, Jr.","Thomas C. Wright, Jr.",R,R
