member_id,MBR_NAME,party,member_status,comparable_sample,directional_votes_2025,directional_votes_2026,eligible_cross_party_votes_2025,eligible_cross_party_votes_2026,cross_party_votes_2025,cross_party_votes_2026,cross_party_vote_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_breaks_2025,party_breaks_2026,party_break_change,party_break_pct_2025,party_break_pct_2026,party_break_pct_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0336,Nadarius E. Clark,D,Present both years,True,1422.0,1720.0,1403.0,1706.0,2.0,8.0,6.0,0.142551674982181,0.4689331770222743,0.3263815020400933,17.0,24.0,7.0,1.1954992967651197,1.3953488372093024,0.19984954044418268,Nadarius E. Clark,Nadarius E. Clark,D,D
H0281,Paul E. Krizek,D,Present both years,True,1690.0,2360.0,1676.0,2345.0,1.0,9.0,8.0,0.0596658711217183,0.3837953091684435,0.3241294380467252,7.0,18.0,11.0,0.4142011834319526,0.7627118644067797,0.3485106809748271,Paul E. Krizek,Paul E. Krizek,D,D
H0370,Karen Keys-Gamarra,D,Present both years,True,1444.0,1997.0,1438.0,1975.0,2.0,9.0,7.0,0.1390820584144645,0.4556962025316456,0.31661414411718114,22.0,25.0,3.0,1.5235457063711912,1.2518778167250877,-0.27166788964610356,Karen Keys-Gamarra,Karen Keys-Gamarra,D,D
H0366,Phil M. Hernandez,D,Present both years,True,1565.0,2315.0,1553.0,2292.0,2.0,10.0,8.0,0.128783000643915,0.4363001745200698,0.3075171738761548,9.0,18.0,9.0,0.5750798722044729,0.7775377969762419,0.20245792477176905,Phil M. Hernandez,Phil M. Hernandez,D,D
H0325,Wendell S. Walker,R,Present both years,True,1380.0,1882.0,1374.0,1868.0,30.0,46.0,16.0,2.1834061135371177,2.462526766595289,0.27912065305817135,58.0,60.0,2.0,4.202898550724638,3.1880977683315623,-1.0148007823930754,Wendell S. Walker,Wendell S. Walker,R,R
H0355,Laura Jane Cohen,D,Present both years,True,1456.0,2162.0,1442.0,2129.0,5.0,13.0,8.0,0.3467406380027739,0.6106153123532174,0.26387467435044354,18.0,26.0,8.0,1.2362637362637363,1.2025901942645698,-0.0336735419991665,Laura Jane Cohen,Laura Jane Cohen,D,D
H0374,Marty Martinez,D,Present both years,True,1221.0,1792.0,1218.0,1784.0,1.0,6.0,5.0,0.0821018062397372,0.336322869955157,0.25422106371541975,13.0,14.0,1.0,1.0647010647010646,0.78125,-0.2834510647010646,Marty Martinez,Marty Martinez,D,D
H0380,Atoosa R. Reaser,D,Present both years,True,1714.0,2148.0,1694.0,2130.0,3.0,8.0,5.0,0.1770956316410862,0.3755868544600939,0.1984912228190077,11.0,16.0,5.0,0.6417736289381564,0.74487895716946,0.10310532823130358,Atoosa R. Reaser,Atoosa R. Reaser,D,D
H0362,"Thomas A. Garrett, Jr.",R,Present both years,True,1223.0,1649.0,1210.0,1642.0,15.0,23.0,8.0,1.2396694214876034,1.4007308160779537,0.1610613945903503,157.0,252.0,95.0,12.837285363859364,15.281989084293512,2.4447037204341484,"Thomas A. Garrett, Jr.","Thomas A. Garrett, Jr.",R,R
H0253,Terry L. Austin,R,Present both years,True,1639.0,2348.0,1635.0,2331.0,88.0,129.0,41.0,5.382262996941896,5.534105534105534,0.15184253716363827,119.0,158.0,39.0,7.26052471018914,6.729131175468483,-0.5313935347206566,Terry L. Austin,Terry L. Austin,R,R
H0383,Eric R. Zehr,R,Present both years,True,1329.0,1875.0,1316.0,1869.0,10.0,17.0,7.0,0.7598784194528876,0.909577314071696,0.14969889461880836,172.0,260.0,88.0,12.942061700526711,13.866666666666664,0.9246049661399525,Eric R. Zehr,Eric R. Zehr,R,R
H0247,Michael J. Webert,R,Present both years,True,1474.0,2059.0,1452.0,2048.0,44.0,65.0,21.0,3.0303030303030303,3.173828125,0.14352509469696972,154.0,182.0,28.0,10.44776119402985,8.839242350655658,-1.608518843374192,Michael J. Webert,Michael J. Webert,R,R
H0317,Dan I. Helmer,D,Present both years,True,1499.0,2281.0,1485.0,2259.0,2.0,6.0,4.0,0.1346801346801346,0.2656042496679947,0.13092411498786008,20.0,18.0,-2.0,1.33422281521014,0.789127575624726,-0.5450952395854141,Dan I. Helmer,Dan I. Helmer,D,D
H0238,M. Keith Hodges,R,Present both years,True,1666.0,2294.0,1660.0,2277.0,62.0,88.0,26.0,3.734939759036145,3.864734299516908,0.12979454048076322,90.0,118.0,28.0,5.402160864345738,5.143853530950305,-0.2583073333954333,M. Keith Hodges,M. Keith Hodges,R,R
H0136,"Thomas C. Wright, Jr.",R,Present both years,True,1095.0,1532.0,1091.0,1529.0,3.0,6.0,3.0,0.2749770852428964,0.3924133420536298,0.11743625681073344,132.0,208.0,76.0,12.054794520547944,13.57702349869452,1.5222289781465772,"Thomas C. Wright, Jr.","Thomas C. Wright, Jr.",R,R
H0365,"Rozia A. Henson, Jr.",D,Present both years,True,1424.0,1938.0,1421.0,1916.0,3.0,6.0,3.0,0.211118930330753,0.313152400835073,0.10203347050432002,25.0,29.0,4.0,1.75561797752809,1.4963880288957687,-0.2592299486323213,"Rozia A. Henson, Jr.","Rozia A. Henson, Jr.",D,D
H0329,Bill Wiley,R,Present both years,True,1530.0,2335.0,1522.0,2322.0,47.0,74.0,27.0,3.088042049934297,3.1869078380706286,0.09886578813633173,71.0,101.0,30.0,4.640522875816994,4.325481798715203,-0.31504107710179063,Bill Wiley,Bill Wiley,R,R
H0305,Kathy K.L. Tran,D,Present both years,True,1537.0,2470.0,1530.0,2452.0,6.0,12.0,6.0,0.392156862745098,0.4893964110929852,0.09723954834788723,38.0,38.0,0.0,2.47234873129473,1.5384615384615383,-0.9338871928331915,Kathy K.L. Tran,Kathy K.L. Tran,D,D
H0344,Irene Shin,D,Present both years,True,1699.0,2386.0,1678.0,2357.0,8.0,13.0,5.0,0.4767580452920142,0.5515485787017396,0.07479053340972536,24.0,34.0,10.0,1.412595644496763,1.4249790444258172,0.01238339992905435,Irene Shin,Irene Shin,D,D
H0384,Eric Phillips,R,Present both years,True,1198.0,1813.0,1195.0,1808.0,60.0,92.0,32.0,5.02092050209205,5.08849557522124,0.06757507312919042,77.0,119.0,42.0,6.42737896494157,6.563706563706563,0.13632759876499279,Eric Phillips,Eric Phillips,R,R
H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,Present both years,True,1695.0,2475.0,1672.0,2448.0,3.0,6.0,3.0,0.1794258373205741,0.2450980392156862,0.06567220189511211,6.0,21.0,15.0,0.3539823008849557,0.8484848484848486,0.4945025475998929,"Richard C. ""Rip"" Sullivan, Jr.","Richard C. ""Rip"" Sullivan, Jr.",D,D
H0353,Bonita G. Anthony,D,Present both years,True,1343.0,2282.0,1337.0,2257.0,2.0,4.0,2.0,0.1495886312640239,0.1772264067346034,0.027637775470579495,12.0,9.0,-3.0,0.8935219657483247,0.3943908851884312,-0.49913108055989347,Bonita G. Anthony,Bonita G. Anthony,D,D
H0311,Alex Q. Askew,D,Present both years,True,1698.0,2322.0,1679.0,2310.0,1.0,2.0,1.0,0.0595592614651578,0.0865800865800865,0.02702082511492869,12.0,8.0,-4.0,0.7067137809187279,0.3445305770887166,-0.36218320383001135,Alex Q. Askew,Alex Q. Askew,D,D
