Bill_id,topic_name,classification
HB1319,Unclassified,Unclassified
HB1320,Unclassified,Unclassified
HB1322,Unclassified,Unclassified
HB1327,Unclassified,Unclassified
HB1328,Unclassified,Unclassified
HB1330,Unclassified,Unclassified
HB1332,Unclassified,Unclassified
HB1334,Unclassified,Unclassified
HB1335,Unclassified,Unclassified
HB1336,Unclassified,Unclassified
HB1337,Unclassified,Unclassified
HB1339,Unclassified,Unclassified
HB1340,Unclassified,Unclassified
HB1341,Unclassified,Unclassified
HB1343,Unclassified,Unclassified
HB1344,Unclassified,Unclassified
HB1350,Unclassified,Unclassified
HB1353,Unclassified,Unclassified
HB1356,Unclassified,Unclassified
HB1363,Unclassified,Unclassified
HB1365,Unclassified,Unclassified
HB1366,Unclassified,Unclassified
HB1370,Unclassified,Unclassified
HB1371,Unclassified,Unclassified
HB1374,Unclassified,Unclassified
HB1375,Unclassified,Unclassified
HB1376,Unclassified,Unclassified
HB1381,Unclassified,Unclassified
HB1384,Unclassified,Unclassified
HB1385,Unclassified,Unclassified
HB1387,Unclassified,Unclassified
HB1388,Unclassified,Unclassified
HB1391,Unclassified,Unclassified
HB1394,Unclassified,Unclassified
HB1396,Unclassified,Unclassified
HB1397,Unclassified,Unclassified
HB1398,Unclassified,Unclassified
HB1399,Unclassified,Unclassified
HB1401,Unclassified,Unclassified
HB1402,Unclassified,Unclassified
HB1403,Unclassified,Unclassified
HB1407,Unclassified,Unclassified
HB1411,Unclassified,Unclassified
HB1423,Unclassified,Unclassified
HB1424,Unclassified,Unclassified
HB1425,Unclassified,Unclassified
HB1428,Unclassified,Unclassified
HB1429,Unclassified,Unclassified
HB1431,Unclassified,Unclassified
HB1432,Unclassified,Unclassified
HB1433,Unclassified,Unclassified
HB1436,Unclassified,Unclassified
HB1440,Unclassified,Unclassified
HB1441,Unclassified,Unclassified
HB1443,Unclassified,Unclassified
HB1448,Unclassified,Unclassified
HB1449,Unclassified,Unclassified
HB1453,Unclassified,Unclassified
HB1455,Unclassified,Unclassified
HB1456,Unclassified,Unclassified
HB1459,Unclassified,Unclassified
HB1463,Unclassified,Unclassified
HB1465,Unclassified,Unclassified
HB1466,Unclassified,Unclassified
HB1472,Unclassified,Unclassified
HB1475,Unclassified,Unclassified
HB1476,Unclassified,Unclassified
HB1477,Unclassified,Unclassified
HB1478,Unclassified,Unclassified
HB1484,Unclassified,Unclassified
HB1487,Unclassified,Unclassified
HB1493,Unclassified,Unclassified
HB1497,Unclassified,Unclassified
HB1498,Unclassified,Unclassified
HB1499,Unclassified,Unclassified
HB1505,Unclassified,Unclassified
HB1506,Unclassified,Unclassified
HB1507,Unclassified,Unclassified
HB1509,Unclassified,Unclassified
HB1510,Unclassified,Unclassified
HB1511,Unclassified,Unclassified
HB1513,Unclassified,Unclassified
HB1515,Unclassified,Unclassified
HB1516,Unclassified,Unclassified
HB1517,Unclassified,Unclassified
HB1518,Unclassified,Unclassified
HB1519,Unclassified,Unclassified
HB1521,Unclassified,Unclassified
HB1523,Unclassified,Unclassified
HB1527,Unclassified,Unclassified
HB1530,Unclassified,Unclassified
HB1531,Unclassified,Unclassified
HJ5,Unclassified,Unclassified
HJ6,Unclassified,Unclassified
HJ8,Unclassified,Unclassified
HJ10,Unclassified,Unclassified
HJ11,Unclassified,Unclassified
HJ12,Unclassified,Unclassified
HJ13,Unclassified,Unclassified
HJ16,Unclassified,Unclassified
HJ17,Unclassified,Unclassified
HJ18,Unclassified,Unclassified
HJ19,Unclassified,Unclassified
HJ20,Unclassified,Unclassified
HJ22,Unclassified,Unclassified
HJ23,Unclassified,Unclassified
HJ24,Unclassified,Unclassified
HJ25,Unclassified,Unclassified
HJ29,Unclassified,Unclassified
HJ30,Unclassified,Unclassified
HJ31,Unclassified,Unclassified
HJ33,Unclassified,Unclassified
HJ37,Unclassified,Unclassified
HJ38,Unclassified,Unclassified
HJ39,Unclassified,Unclassified
HJ41,Unclassified,Unclassified
HJ42,Unclassified,Unclassified
HJ43,Unclassified,Unclassified
HJ46,Unclassified,Unclassified
HJ47,Unclassified,Unclassified
HJ48,Unclassified,Unclassified
HJ52,Unclassified,Unclassified
HJ53,Unclassified,Unclassified
HJ54,Unclassified,Unclassified
HJ55,Unclassified,Unclassified
