year,member_id,MBR_NAME,party,topic_name,classification,topic_vote_events,yes_votes,no_votes,directional_topic_votes,voting_tendency,yes_pct,no_pct
2026,H0391,Lindsey Dougherty,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0227,Luke E. Torian,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0284,"Marcia S. ""Cia"" Price",D,Administration of Government,Official LIS subject,6,5,0,5,INSUFFICIENT DATA,100.0,0.0
2026,H0264,Marcus B. Simon,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0404,Margaret A. Franklin,D,Administration of Government,Official LIS subject,3,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0392,Mark C. Downey,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0172,Mark D. Sickles,D,Administration of Government,Official LIS subject,1,1,0,1,INSUFFICIENT DATA,100.0,0.0
2026,H0374,Marty Martinez,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0397,May Nivar,D,Administration of Government,Official LIS subject,7,7,0,7,INSUFFICIENT DATA,100.0,0.0
2026,H0360,Michael B. Feggans,D,Administration of Government,Official LIS subject,7,7,0,7,INSUFFICIENT DATA,100.0,0.0
2026,H0340,Michelle Lopes Maldonado,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0336,Nadarius E. Clark,D,Administration of Government,Official LIS subject,7,7,0,7,INSUFFICIENT DATA,100.0,0.0
2026,H0389,Nicole Cole,D,Administration of Government,Official LIS subject,5,5,0,5,INSUFFICIENT DATA,100.0,0.0
2026,H0219,Patrick A. Hope,D,Administration of Government,Official LIS subject,4,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0281,Paul E. Krizek,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0366,Phil M. Hernandez,D,Administration of Government,Official LIS subject,4,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0356,Rae Cousins,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,Administration of Government,Official LIS subject,7,7,0,7,INSUFFICIENT DATA,100.0,0.0
