year,member_id,MBR_NAME,party,topic_name,topic_vote_events,directional_topic_votes,yes_votes,no_votes,topic_provenance,yes_pct,no_pct,voting_tendency
2026,H0207,Delores L. McQuinn,D,Agriculture and Food,30,30,30,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0372,Destiny LeVere Bolling,D,Agriculture and Food,28,28,28,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0322,Don Scott,D,Agriculture and Food,23,22,22,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0334,Elizabeth B. Bennett-Parker,D,Agriculture and Food,16,13,13,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0297,Elizabeth R. Guzman,D,Agriculture and Food,26,26,26,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0403,Gretchen M. Bulova,D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0351,Holly M. Seibold,D,Agriculture and Food,24,24,24,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0385,JJ Singh,D,Agriculture and Food,25,25,25,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0173,Jeion A. Ward,D,Agriculture and Food,27,26,26,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0386,Jessica L. Anderson,D,Agriculture and Food,28,28,28,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0382,Joshua E. Thomas,D,Agriculture and Food,30,30,30,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0314,Joshua G. Cole,D,Agriculture and Food,27,27,27,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
2026,H0370,Karen Keys-Gamarra,D,Agriculture and Food,25,22,22,0,Derived from LIS bill summary | Derived from LIS bill description,100.0,0.0,YES
