Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB2309,Unclassified,Unclassified,,,BILLS.CSV,Local health districts and health departments; guidance for septic and well permits.,False,
HB2312,Unclassified,Unclassified,,,BILLS.CSV,"Discovery; electronic means, report.",False,
HB2313,Unclassified,Unclassified,,,BILLS.CSV,"Boarding establishments; inspections by animal control officers, report.",False,
HB2316,Unclassified,Unclassified,,,BILLS.CSV,Protective orders; dissolution of existing order.,False,
HB2319,Unclassified,Unclassified,,,BILLS.CSV,Drug and controlled paraphernalia; creates exception for drug checking products.,False,
HB2330,Unclassified,Unclassified,,,BILLS.CSV,"Notice of certain land use actions; first-class mail to last known address, etc., of property owner.",False,
HB2332,Unclassified,Unclassified,,,BILLS.CSV,"Urbanna, Town of; amending charter, mayor shall be a member of town council.",False,
HB2342,Unclassified,Unclassified,,,BILLS.CSV,Alcoholic beverage control; confectionery mixed beverage retail license.,False,
HB2349,Unclassified,Unclassified,,,BILLS.CSV,Developer performance guarantees; clarifies existing provisions related to periodic partial release.,False,
HB2361,Unclassified,Unclassified,,,BILLS.CSV,Judges; increases maximum number in general district court in the Thirty-first Judicial District.,False,
HB2368,Unclassified,Unclassified,,,BILLS.CSV,Toll relief; maximum charges.,False,
HB2378,Unclassified,Unclassified,,,BILLS.CSV,Therapeutically equivalent drug products; provisions for return of outdated drugs.,False,
HB2379,Unclassified,Unclassified,,,BILLS.CSV,Dangerous dogs; criteria for adjudication.,False,
HB2393,Unclassified,Unclassified,,,BILLS.CSV,Human trafficking; issuance of writ of vacatur for victims.,False,
HB2397,Unclassified,Unclassified,,,BILLS.CSV,Virginia Growth and Opportunity Act; expands eligibility for grants.,False,
HB2405,Unclassified,Unclassified,,,BILLS.CSV,Gender reassignment surgery; prohibition on individuals younger than 18 years of age.,False,
HB2416,Unclassified,Unclassified,,,BILLS.CSV,"Compulsory school attendance; attorneys. etc., for the Commonwealth to prosecute cases",False,
HB2432,Unclassified,Unclassified,,,BILLS.CSV,"Pari-mutuel wagering; historical horse racing, percentage retained for distribution.",False,
HB2443,Unclassified,Unclassified,,,BILLS.CSV,Portable benefit accounts; Va. resident who has worked as an independent contractor to establish.,False,
HB2447,Unclassified,Unclassified,,,BILLS.CSV,Line of Duty Act & Va. Law Officers' Retirement Sys.; enhanced benefits for certain fire personnel.,False,
HB2448,Unclassified,Unclassified,,,BILLS.CSV,Interstate Massage Compact; authorizes Virginia to become a signatory to Compact.,False,
HB2474,Unclassified,Unclassified,,,BILLS.CSV,School resource officers and school security officers; crisis intervention training.,False,
HB2476,Unclassified,Unclassified,,,BILLS.CSV,"Public officers; death, resignation, or ceasing to hold office, automatic substitution.",False,
HB2477,Unclassified,Unclassified,,,BILLS.CSV,Property under common ownership; creation of easements.,False,
HB2485,Unclassified,Unclassified,,,BILLS.CSV,"Cannabis control; establishes framework for creating retail market, penalties.",False,
HB2493,Unclassified,Unclassified,,,BILLS.CSV,"Gaming; conduct of Texas Hold'em poker tournaments, fantasy contests, age restrictions.",False,
HB2503,Unclassified,Unclassified,,,BILLS.CSV,Virginia coordinate systems; updates several references in Code.,False,
HB2510,Unclassified,Unclassified,,,BILLS.CSV,Safety and Health Codes Board; THC impairment standard for certain work sites.,False,
HB2533,Unclassified,Unclassified,,,BILLS.CSV,"Counties, cities, and towns; comprehensive plan may include tiny homes or accessory dwelling units.",False,
HB2542,Unclassified,Unclassified,,,BILLS.CSV,Common interest communities; amateur radio antennas permitted.,False,
HB2545,Unclassified,Unclassified,,,BILLS.CSV,Gas pipeline safety; regulations.,False,
HB2556,Unclassified,Unclassified,,,BILLS.CSV,"Address Confidentiality Program; removal of Program participant, penalty.",False,
HB2565,Unclassified,Unclassified,,,BILLS.CSV,Subpoena duces tecum; motions to quash or modify.,False,
HB2570,Unclassified,Unclassified,,,BILLS.CSV,Uniform Statewide Building Code; installation of natural gas leak detectors in residential building.,False,
HB2587,Unclassified,Unclassified,,,BILLS.CSV,"Poquoson, City of; amending charter, powers of city council.",False,
HB2612,Unclassified,Unclassified,,,BILLS.CSV,Massage therapists; increases hours of minimum training for licensure.,False,
HB2624,Unclassified,Unclassified,,,BILLS.CSV,"Local officers; removal of officer appointed for a certain term, etc.",False,
HB2632,Unclassified,Unclassified,,,BILLS.CSV,Jurors; failure to return jury questionnaire.,False,
HB2634,Unclassified,Unclassified,,,BILLS.CSV,"Charitable gaming; use of proceeds, charitable gaming adjusted gross receipts, effective date.",False,
HB2636,Unclassified,Unclassified,,,BILLS.CSV,Assignment of causes of action; limitations.,False,
HB2642,Unclassified,Unclassified,,,BILLS.CSV,Statewide Fire Prevention Code Act; counterfeit and unsafe lighters prohibited.,False,
HB2643,Unclassified,Unclassified,,,BILLS.CSV,"Estimated tax; failure by individual, trust, or estate to pay.",False,
HB2648,Unclassified,Unclassified,,,BILLS.CSV,State Corporation Commission; time frame for completion of certain transmission lines proceedings.,False,
HB2649,Unclassified,Unclassified,,,BILLS.CSV,"Prescription Monitoring Program; exemptions, licensed narcotic maintenance treatment programs.",False,
HB2654,Unclassified,Unclassified,,,BILLS.CSV,Unlawful dissemination of intimate images of another; creates a tiered system of penalties.,False,
HB2658,Unclassified,Unclassified,,,BILLS.CSV,Local treasurers; increases maximum amount of surety bond required.,False,
HB2664,Unclassified,Unclassified,,,BILLS.CSV,City of Lexington Industrial Development Authority; appointment of members.,False,
HB2669,Unclassified,Unclassified,,,BILLS.CSV,Cosmetologist and cosmetology; amending definitions.,False,
HB2671,Unclassified,Unclassified,,,BILLS.CSV,"Authorized septic system inspectors; definitions, minimum requirements, penalty.",False,
HB2677,Unclassified,Unclassified,,,BILLS.CSV,Dinwiddie Airport and Industrial Authority; residency requirements.,False,
HB2682,Unclassified,Unclassified,,,BILLS.CSV,Building permit and certificate of occupancy processes; work group to identify certain changes.,False,
HB2684,Unclassified,Unclassified,,,BILLS.CSV,Phase II Utility; plan for certain generation and transmission infrastructure costs.,False,
HB2691,Unclassified,Unclassified,,,BILLS.CSV,"Relief; Duffy, Keshawn Clarence, compensation for wrongful incarceration.",False,
HB2695,Unclassified,Unclassified,,,BILLS.CSV,Library Board; conferral of the honorary degree of patron of letters.,False,
HB2704,Unclassified,Unclassified,,,BILLS.CSV,"Library boards; removal of members, appeal.",False,
HB2708,Unclassified,Unclassified,,,BILLS.CSV,"Controlled substances; prohibited equipment related to manufacturing, selling, etc.; penalties.",False,
HB2711,Unclassified,Unclassified,,,BILLS.CSV,Water & wastewater utilities; eligible infrastructure replacement and enhancement.,False,
HB2716,Unclassified,Unclassified,,,BILLS.CSV,"Photo speed monitoring devices; private vendors compensated for calibration, civil penalty.",False,
HB2718,Unclassified,Unclassified,,,BILLS.CSV,Photo speed monitoring devices; school crossing zones.,False,
HB2721,Unclassified,Unclassified,,,BILLS.CSV,"License plates, special; supporters of Washington Commanders.",False,
HB2729,Unclassified,Unclassified,,,BILLS.CSV,Judges in each judicial districts and circuits; increases maximum number.,False,
HB2735,Unclassified,Unclassified,,,BILLS.CSV,Involuntary admission for treatment.,False,
HB2739,Unclassified,Unclassified,,,BILLS.CSV,Time zone; permanent standard time in Virginia.,False,
HB2750,Unclassified,Unclassified,,,BILLS.CSV,Common interest communities; termination of certain management contracts.,False,
HB2770,Unclassified,Unclassified,,,BILLS.CSV,"Virginia School Safety Preparedness Fund and Program; created and established, report.",False,
HB2775,Unclassified,Unclassified,,,BILLS.CSV,Hemp product; clarifies definition.,False,
HJ429,Unclassified,Unclassified,,,BILLS.CSV,General Assembly; establishes 2026 Regular Session prefiling schedule.,False,
HJ430,Unclassified,Unclassified,,,BILLS.CSV,General Assembly; establishes schedule for conduct of business coming before 2025 Regular Session.,False,
HJ433,Unclassified,Unclassified,,,BILLS.CSV,Commending the Alexandria Archaeological Commission.,False,
HJ435,Unclassified,Unclassified,,,BILLS.CSV,Guam History and Chamorro Heritage Day.,False,
HJ436,Unclassified,Unclassified,,,BILLS.CSV,Vehicle noise-monitoring devices; VSP to study feasibility and impact of implementing devices.,False,
HJ437,Unclassified,Unclassified,,,BILLS.CSV,"Recurrent Flooding, Joint Subcommittee on; reestablished and its work continued.",False,
HJ446,Unclassified,Unclassified,,,BILLS.CSV,Zero Waste Awareness Week; designating as first full week of Sept. 2025 & each succeeding year.,False,
HJ450,Unclassified,Unclassified,,,BILLS.CSV,Constitutional amendment; right to work (first reference).,False,
HJ452,Unclassified,Unclassified,,,BILLS.CSV,Constitutional amendment; right to food choice (first reference).,False,
HJ453,Unclassified,Unclassified,,,BILLS.CSV,Recognition of the Wolf Creek Cherokee Tribe of Virginia.,False,
HJ455,Unclassified,Unclassified,,,BILLS.CSV,Notifying the Governor of organization.,False,
HJ458,Unclassified,Unclassified,,,BILLS.CSV,"Armenian Genocide Remembrance Day; designating as April 24, 2025 & each succeeding year thereafter.",False,
HJ459,Unclassified,Unclassified,,,BILLS.CSV,"Celebrating the life of James Stuart Weston, MD.",False,
HJ460,Unclassified,Unclassified,,,BILLS.CSV,Washington County; DCR to study feasibility of establishing state park in Holston River Watershed.,False,
HJ461,Unclassified,Unclassified,,,BILLS.CSV,"Rural Affairs, Secretariat of; JLARC to study need for and feasibility of creating position.",False,
HJ462,Unclassified,Unclassified,,,BILLS.CSV,Tractor-trailers; study of need for expansion of parking along the I-66 & I-95,False,
HJ463,Unclassified,Unclassified,,,BILLS.CSV,Migration of individuals age 60 & older; JLARC to study causation and resulting impact.,False,
HJ465,Unclassified,Unclassified,,,BILLS.CSV,Commending Shenandoah University.,False,
HJ466,Unclassified,Unclassified,,,BILLS.CSV,Amyotrophic Lateral Sclerosis Awareness Month; designating as May 2025 and in each succeeding year.,False,
HJ467,Unclassified,Unclassified,,,BILLS.CSV,Commending Ray Reynolds.,False,
HJ469,Unclassified,Unclassified,,,BILLS.CSV,Commending Mel Price.,False,
HJ470,Unclassified,Unclassified,,,BILLS.CSV,Commending program partners for the Virginia American Revolution 250 Commission's Fincastle Resolutions events.,False,
HJ471,Unclassified,Unclassified,,,BILLS.CSV,Commending the Animal Welfare League of Arlington.,False,
HJ472,Unclassified,Unclassified,,,BILLS.CSV,Commending the American Friends of Lafayette.,False,
HJ475,Unclassified,Unclassified,,,BILLS.CSV,Commending the Charlotte County Virginia Angels softball team.,False,
HJ476,Unclassified,Unclassified,,,BILLS.CSV,"Judges; election in Circuit Court, General District Court etc.",False,
HJ477,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Henry Furlong Baldwin.,False,
HJ478,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of the Honorable William R. O'Brien.,False,
HJ479,Unclassified,Unclassified,,,BILLS.CSV,Commending the Community Foundation of the New River Valley.,False,
HJ480,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Holly Jennings King.,False,
HJ483,Unclassified,Unclassified,,,BILLS.CSV,"Commending Cadet Colonel Anna Stroz, CAP.",False,
HJ484,Unclassified,Unclassified,,,BILLS.CSV,Commending Debbie Rountree.,False,
HJ485,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Rafael Torrech III.,False,
HJ486,Unclassified,Unclassified,,,BILLS.CSV,Commending Caleb Gilbert.,False,
HJ487,Unclassified,Unclassified,,,BILLS.CSV,Commending Grant Holloway.,False,
HJ488,Unclassified,Unclassified,,,BILLS.CSV,Commending Maurice Moody.,False,
HJ489,Unclassified,Unclassified,,,BILLS.CSV,Commending Marie Nave.,False,
HJ490,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of John Lee Orrock.,False,
HJ491,Unclassified,Unclassified,,,BILLS.CSV,"Celebrating the life of Jackie Francis Shepard, Jr.",False,
HJ492,Unclassified,Unclassified,,,BILLS.CSV,Constitutional amendment; right to work (first reference).,False,
HJ493,Unclassified,Unclassified,,,BILLS.CSV,Commending Blackwater Baptist Church.,False,
HJ494,Unclassified,Unclassified,,,BILLS.CSV,Commending the Historic St. John's Church.,False,
HJ495,Unclassified,Unclassified,,,BILLS.CSV,Celebrating the life of Patricia Buckley Moss.,False,
HJ496,Unclassified,Unclassified,,,BILLS.CSV,Commending Al Alexander.,False,
