Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB93,Firearms,Derived from LIS bill description,,,BILLS.CSV,Firearms; transfers to another person from a prohibited person.,True,\bfirearms?\b
HB94,Transportation,Derived from LIS bill description,,,BILLS.CSV,Vehicle registration fees; disabled veterans.,True,\bvehicle registration\b
HB95,Housing,Derived from LIS bill description,,,BILLS.CSV,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",True,\bresidential landlord\b
HB96,Education,Derived from LIS bill description,,,BILLS.CSV,School breakfast; availability at no cost to students.,True,\bstudents?\b
HB99,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Felony eluding; mandatory minimum term in correctional facility.,True,\bfelony\b
HB101,Firearms,Derived from LIS bill description,,,BILLS.CSV,Concealed handguns; alternate methods of submission of applications for permits.,True,\bhandguns?\b
HB104,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Virginia Historic Landmarks Register; bicentennial farms.,True,\bfarms?\b
HB105,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Bicentennial farm program; State Forester to establish and administer.,True,\bfarms?\b
HB106,Firearms,Derived from LIS bill description,,,BILLS.CSV,Concealed handgun permit; lowers fee for processing an application.,True,\bhandguns?\b
HB109,Business and Commerce,Derived from LIS bill description,,,BILLS.CSV,"Noxious weeds; amends definition, commercial viability, phase-out period, report.",True,\bcommercial\b
HB110,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Handguns in unattended motor vehicle; definitions, penalty.",True,\bmotor vehicles?\b
HB110,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Handguns in unattended motor vehicle; definitions, penalty.",True,\bhandguns?\b
HB111,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Voter registration; cancellation of registration, sources of data.",True,\bvoters?\b
HB112,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,"Mammalian wildlife; separation and hybridization prohibited, exceptions.",True,\bwildlife\b
HB113,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Elections; soliciting or accepting bribe to influence or procure voter registration, penalty.",True,\belections?\b
HB114,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Electric utility infrastructure; Dept. of Energy and SCC to conduct an analysis, report.",True,\belectric utilit
HB115,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Waste to Energy Grant Program; established, report.",True,\benergy\b
HB116,Education,Derived from LIS bill description,,,BILLS.CSV,School board employee grievance procedure; timing of dispute resolution.,True,\bschool boards?\b
HB116,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,School board employee grievance procedure; timing of dispute resolution.,True,\bemployees?\b
HB120,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Public Utility Ombudsman, Office of the; established, delayed effective date.",True,\bpublic utilit
HB123,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Delinquent children; loss of driving privileges for alcohol, firearm, and drug offenses, truancy.",True,\bdriving\b
HB123,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Delinquent children; loss of driving privileges for alcohol, firearm, and drug offenses, truancy.",True,\boffenses?\b
HB123,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Delinquent children; loss of driving privileges for alcohol, firearm, and drug offenses, truancy.",True,\bfirearms?\b
HB123,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Delinquent children; loss of driving privileges for alcohol, firearm, and drug offenses, truancy.",True,\bchildren\b
HB125,Education,Derived from LIS bill description,,,BILLS.CSV,Public school teachers; reemployment of teacher who has not received continuing contract status.,True,\bpublic schools?\b
HB126,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Local, regional, and community correctional facilities; access to counsel for inmates.",True,\bcorrectional\b
HB128,Transportation,Derived from LIS bill description,,,BILLS.CSV,Ancillary traffic infractions; certification.,True,\btraffic\b
HB130,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"Workers' compensation; presumption of certain cancers, sheriffs and deputy sheriffs.",True,\bworkers'? compensation\b
HB134,Environment and Conservation,Derived from LIS bill description,,,BILLS.CSV,Virginia Conservation Easement Act; definition of federally recognized tribe.,True,\bconservation\b
HB136,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Sickle cell disease; feasibility of Medicaid benefit and Medicaid Health Homes, report.",True,\bmedicaid\b
HB137,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; increases current cap of military benefits that may be subtracted.",True,\bincome tax\b
HB139,Education,Derived from LIS bill description,,,BILLS.CSV,School board policies; unpaid educational leave for certain employee association officers.,True,\bschool boards?\b
HB139,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,School board policies; unpaid educational leave for certain employee association officers.,True,\bemployees?\b
HB141,Transportation,Derived from LIS bill description,,,BILLS.CSV,Virginia Passenger Rail Authority; certain exemptions.,True,\brail\b
HB145,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Fantasy contests; regulation and taxation, civil penalty, repeals Fantasy Contests Act.",True,\btaxation\b
HB146,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Health Care Learning Lab and Regulatory Improvement Program; established, report, sunset.",True,\bhealth care\b
HB148,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Children; seizure, etc., of property used in connection with exploitation and solicitation.",True,\bchildren\b
HB149,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Probation; decreasing period.,True,\bprobation\b
HB151,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Food service permits; out-of-state caterers.,True,\bfood service\b
HB153,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,"Data centers; site assessment, sound profile of the high energy use facility.",True,\benergy\b
HB155,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,Electric utilities; certificate of operation for high-load facilities.,True,\belectric utilit
HB157,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Real Estate Board; an applicant for new real estate license to certify criminal history info.,True,\bcriminal\b
HB160,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"FOIA; officers, employees, or members of a public body, alleged willful and knowing violations.",True,\bemployees?\b
HB161,Technology and Data,Derived from LIS bill description,,,BILLS.CSV,"Virginia Lottery; internet gaming authorized, definitions, penalties, effective clause.",True,\binternet\b
HB164,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Housing for local employees; grants for homeownership.,True,\bemployees?\b
HB168,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Election of certain governing bodies; conversion to single-member districts.,True,\belections?\b
HB171,Education,Derived from LIS bill description,,,BILLS.CSV,"Student instruction; Internet safety, policy to include key modern digital safety topics.",True,\bstudents?\b
HB171,Technology and Data,Derived from LIS bill description,,,BILLS.CSV,"Student instruction; Internet safety, policy to include key modern digital safety topics.",True,\binternet\b
HB172,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Criminal cases; request for a jury to ascertain range of punishment, etc.",True,\bcriminal\b
HB173,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"State correctional facilities; visitation policies, annual report.",True,\bcorrectional\b
HB174,Housing,Derived from LIS bill description,,,BILLS.CSV,Va. Residential Landlord & Tenant Act; early termination of rental agreement by military personnel.,True,\bresidential landlord\b
HB177,Local Government,Derived from LIS bill description,,,BILLS.CSV,Fee for passing bad checks to localities; payment order not paid by recipient.,True,\blocalit
HB178,Education,Derived from LIS bill description,,,BILLS.CSV,Certified student support agencies; DOE to assess impact of developing program for students.,True,\bstudents?\b
HB181,Local Government,Derived from LIS bill description,,,BILLS.CSV,Affordable dwelling unit program; adds Roanoke City to list of localities with authority to provide.,True,\blocalit
HB182,Education,Derived from LIS bill description,,,BILLS.CSV,High school graduation requirements; history and social studies credits.,True,\bhigh school\b
HB187,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Virginia Beach, City of; amending charter, transition to a city council, voting districts.",True,\bvoting\b
HB188,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; establishes a new income tax bracket beginning in taxable year 2026.",True,\bincome tax\b
HB189,Education,Derived from LIS bill description,,,BILLS.CSV,"Certain student assessment requirements; calculation of final course grade, effective clause.",True,\bstudents?\b
HB191,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Victims of sex trafficking; immunity for minors to arrest or prosecution for prostitution.,True,\bminors?\b
HB192,Transportation,Derived from LIS bill description,,,BILLS.CSV,General district courts; jurisdictional limits relating to motor vehicle accidents.,True,\bmotor vehicles?\b
HB193,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Parole; exception to limitation on the application of parole statutes.,True,\bparole\b
HB195,Education,Derived from LIS bill description,,,BILLS.CSV,Programs for at-risk students; permissible uses of funding.,True,\bstudents?\b
HB196,Housing,Derived from LIS bill description,,,BILLS.CSV,"Mixed-income housing; creating a two-year pilot program that provides loan origination, etc.",True,\bmixed-income housing\b
HB197,Local Government,Derived from LIS bill description,,,BILLS.CSV,"Zoning appeals, board of; appellate jurisdiction upon appeal from the circuit court.",True,\bzoning appeals\b
HB198,Local Government,Derived from LIS bill description,,,BILLS.CSV,"Local government; review of decision by board of zoning appeals, procedures for filing petition.",True,\blocal governments?\b
HB200,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Transit Entities, certain; funding and administration.",True,\btransit\b
HB201,Education,Derived from LIS bill description,,,BILLS.CSV,School boards; safe storage of prescription drugs and firearms in the household.,True,\bschool boards?\b
HB201,Firearms,Derived from LIS bill description,,,BILLS.CSV,School boards; safe storage of prescription drugs and firearms in the household.,True,\bfirearms?\b
HB207,Firearms,Derived from LIS bill description,,,BILLS.CSV,Retail Sales and Use Tax; imposes firearm suppressor tax.,True,\bfirearms?\b
HB207,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Retail Sales and Use Tax; imposes firearm suppressor tax.,True,\bsales and use tax\b
HB210,Education,Derived from LIS bill description,,,BILLS.CSV,School meal debt; each school board to annually report.,True,\bschool boards?\b
HB212,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Election offenses; intimidation and threats toward election officials, penalty.",True,\boffenses?\b
HB212,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Election offenses; intimidation and threats toward election officials, penalty.",True,\belections?\b
HB213,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Uniform Military and Overseas Voters Act; restrictions on ballot eligibility.,True,\bvoters?\b
HB214,Local Government,Derived from LIS bill description,,,BILLS.CSV,Home Flood Protection Assistance Program; enables a locality to establish by ordinance.,True,\blocalit
HB215,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Voter registration; list maintenance, third-party data exchanges approved by State Bd. of Elections.",True,\belections?\b
HB216,Insurance,Derived from LIS bill description,,,BILLS.CSV,"Health insurance; coverage for prosthetic and custom orthotic devices and components, reports.",True,\bhealth insurance\b
HB217,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Assault firearms & certain ammunition feeding devices; purchase, sale, etc., prohibited, penalties.",True,\bfirearms?\b
HB220,Insurance,Derived from LIS bill description,,,BILLS.CSV,Health insurance; tobacco surcharge.,True,\bhealth insurance\b
HB227,Insurance,Derived from LIS bill description,,,BILLS.CSV,Line of Duty Act; transitional coverage.,True,\bcoverage\b
HB229,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Weapons; possession prohibited in hospital that provides mental health or developmental services.,True,\bhospitals?\b
HB229,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Weapons; possession prohibited in hospital that provides mental health or developmental services.,True,\bmental health\b
HB229,Firearms,Derived from LIS bill description,,,BILLS.CSV,Weapons; possession prohibited in hospital that provides mental health or developmental services.,True,\bweapons?\b
HB230,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Motor vehicles; use of safety belt systems, certain emergency medical services personnel exempted.",True,\bmedical\b
