member_id,topic_name,classification,MBR_NAME_2025,party_2025,yes_votes_2025,no_votes_2025,directional_topic_votes_2025,yes_pct_2025,no_pct_2025,voting_tendency_2025,MBR_NAME_2026,party_2026,yes_votes_2026,no_votes_2026,directional_topic_votes_2026,yes_pct_2026,no_pct_2026,voting_tendency_2026,topic_status,MBR_NAME,party,yes_pct_change,comparable_tendency,voting_tendency_changed,data_availability_changed
H0124,Insurance,Derived from LIS bill description,R. Lee Ware,R,17.0,11.0,28.0,60.71428571428571,39.285714285714285,MIXED,R. Lee Ware,R,26.0,14.0,40.0,65.0,35.0,YES,Present both years,R. Lee Ware,R,4.285714285714292,True,True,False
H0267,Education,Derived from LIS bill description,"Robert S. Bloxom, Jr.",R,96.0,54.0,150.0,64.0,36.0,MIXED,"Robert S. Bloxom, Jr.",R,116.0,54.0,170.0,68.23529411764706,31.76470588235294,YES,Present both years,"Robert S. Bloxom, Jr.",R,4.235294117647058,True,True,False
H0325,Labor and Employment,Derived from LIS bill description,Wendell S. Walker,R,26.0,49.0,75.0,34.66666666666667,65.33333333333333,NO,Wendell S. Walker,R,41.0,68.0,109.0,37.61467889908257,62.38532110091744,MIXED,Present both years,Wendell S. Walker,R,2.9480122324158984,True,True,False
H0348,Insurance,Derived from LIS bill description,Wren M. Williams,R,30.0,18.0,48.0,62.5,37.5,MIXED,Wren M. Williams,R,45.0,24.0,69.0,65.21739130434783,34.78260869565217,YES,Present both years,Wren M. Williams,R,2.717391304347828,True,True,False
H0345,Education,Derived from LIS bill description,Anne Ferrell Tata,R,161.0,95.0,256.0,62.890625,37.109375,MIXED,Anne Ferrell Tata,R,209.0,110.0,319.0,65.51724137931035,34.48275862068966,YES,Present both years,Anne Ferrell Tata,R,2.6266163793103487,True,True,False
H0247,Courts and Civil Law,Derived from LIS bill description,Michael J. Webert,R,9.0,17.0,26.0,34.61538461538461,65.38461538461539,NO,Michael J. Webert,R,12.0,21.0,33.0,36.36363636363637,63.63636363636363,MIXED,Present both years,Michael J. Webert,R,1.7482517482517537,True,True,False
H0242,Business and Commerce,Derived from LIS bill description,Israel D. O'Quinn,R,20.0,11.0,31.0,64.51612903225806,35.483870967741936,MIXED,Israel D. O'Quinn,R,45.0,23.0,68.0,66.17647058823529,33.82352941176471,YES,Present both years,Israel D. O'Quinn,R,1.6603415559772259,True,True,False
H0231,Labor and Employment,Derived from LIS bill description,Tony O. Wilt,R,38.0,73.0,111.0,34.234234234234236,65.76576576576578,NO,Tony O. Wilt,R,54.0,97.0,151.0,35.76158940397351,64.23841059602648,MIXED,Present both years,Tony O. Wilt,R,1.5273551697392733,True,True,False
H0369,Labor and Employment,Derived from LIS bill description,Hillary Pugh Kent,R,25.0,48.0,73.0,34.24657534246575,65.75342465753424,NO,Hillary Pugh Kent,R,41.0,76.0,117.0,35.04273504273504,64.95726495726495,MIXED,Present both years,Hillary Pugh Kent,R,0.7961597002692855,True,True,False
H0124,Taxes and Revenue,Derived from LIS bill description,R. Lee Ware,R,70.0,36.0,106.0,66.0377358490566,33.9622641509434,YES,R. Lee Ware,R,56.0,31.0,87.0,64.36781609195403,35.63218390804598,MIXED,Present both years,R. Lee Ware,R,-1.6699197571025763,True,True,False
H0335,Transportation,Derived from LIS bill description,Mike A. Cherry,R,31.0,16.0,47.0,65.95744680851064,34.04255319148936,YES,Mike A. Cherry,R,55.0,32.0,87.0,63.2183908045977,36.7816091954023,MIXED,Present both years,Mike A. Cherry,R,-2.7390560039129355,True,True,False
H0259,Housing,Derived from LIS bill description,"Hyland F. ""Buddy"" Fowler, Jr.",R,20.0,33.0,53.0,37.735849056603776,62.264150943396224,MIXED,"Hyland F. ""Buddy"" Fowler, Jr.",R,40.0,75.0,115.0,34.78260869565217,65.21739130434783,NO,Present both years,"Hyland F. ""Buddy"" Fowler, Jr.",R,-2.953240360951604,True,True,False
H0333,Public Safety,Derived from LIS bill description,Jason S. Ballard,R,13.0,7.0,20.0,65.0,35.0,YES,Jason S. Ballard,R,31.0,19.0,50.0,62.0,38.0,MIXED,Present both years,Jason S. Ballard,R,-3.0,True,True,False
