member_id,MBR_NAME,party,Subject_Id,Subject_Name,subject_vote_events,eligible_subject_events,party_break_events,cross_party_events,cross_party_pct,party_break_pct
H0353,Bonita G. Anthony,D,990,Reapportionment,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,1142,Wages,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,14460,Alcoholic Beverage and Cannabis Control,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,27,Arts and Humanities,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,511,Affordable Housing,2,2,0,0,0.0,0.0
H0354,Katrina Callsen,D,721,Firearms,2,2,0,0,0.0,0.0
H0355,Laura Jane Cohen,D,113,"Commissions, Boards, and Institutions Generally",2,2,0,0,0.0,0.0
H0355,Laura Jane Cohen,D,641,Continuing Education,2,2,0,0,0.0,0.0
H0355,Laura Jane Cohen,D,785,Human Rights,2,2,0,0,0.0,0.0
H0355,Laura Jane Cohen,D,871,Marriage,2,2,0,0,0.0,0.0
H0355,Laura Jane Cohen,D,968,Professional and Occupational Regulation,2,2,0,0,0.0,0.0
H0356,Rae Cousins,D,594,Child Care,2,2,0,0,0.0,0.0
H0356,Rae Cousins,D,785,Human Rights,2,2,0,0,0.0,0.0
H0356,Rae Cousins,D,871,Marriage,2,2,0,0,0.0,0.0
H0357,Will Davis,R,1142,Wages,2,2,0,0,0.0,0.0
H0357,Will Davis,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0357,Will Davis,R,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0357,Will Davis,R,721,Firearms,2,2,0,0,0.0,0.0
H0357,Will Davis,R,785,Human Rights,2,2,0,0,0.0,0.0
H0357,Will Davis,R,871,Marriage,2,2,0,0,0.0,0.0
H0360,Michael B. Feggans,D,299,Motor Vehicles,2,2,0,0,0.0,0.0
H0360,Michael B. Feggans,D,785,Human Rights,2,2,0,0,0.0,0.0
H0360,Michael B. Feggans,D,871,Marriage,2,2,0,0,0.0,0.0
H0361,Debra D. Gardner,D,1142,Wages,2,2,0,0,0.0,0.0
H0361,Debra D. Gardner,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0361,Debra D. Gardner,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0361,Debra D. Gardner,D,597,Children,2,2,0,0,0.0,0.0
H0361,Debra D. Gardner,D,785,Human Rights,2,2,0,0,0.0,0.0
H0361,Debra D. Gardner,D,871,Marriage,2,2,0,0,0.0,0.0
H0362,"Thomas A. Garrett, Jr.",R,218,Health,3,2,0,0,0.0,0.0
H0362,"Thomas A. Garrett, Jr.",R,231,Housing,3,2,0,0,0.0,0.0
H0362,"Thomas A. Garrett, Jr.",R,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0362,"Thomas A. Garrett, Jr.",R,594,Child Care,2,2,2,0,0.0,100.0
H0362,"Thomas A. Garrett, Jr.",R,642,Contraceptives,3,2,0,0,0.0,0.0
H0362,"Thomas A. Garrett, Jr.",R,721,Firearms,2,2,0,0,0.0,0.0
H0362,"Thomas A. Garrett, Jr.",R,785,Human Rights,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,1142,Wages,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,4,Administration of Government,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,597,Children,2,2,1,0,0.0,50.0
H0364,Timothy P. Griffin,R,721,Firearms,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,785,Human Rights,2,2,0,0,0.0,0.0
H0364,Timothy P. Griffin,R,871,Marriage,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,113,"Commissions, Boards, and Institutions Generally",2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,1142,Wages,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,192,General Assembly,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,4,Administration of Government,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,597,Children,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,636,Congressional Districts,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,641,Continuing Education,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,721,Firearms,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,968,Professional and Occupational Regulation,2,2,0,0,0.0,0.0
H0365,"Rozia A. Henson, Jr.",D,990,Reapportionment,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,1142,Wages,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,14460,Alcoholic Beverage and Cannabis Control,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,27,Arts and Humanities,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,721,Firearms,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,785,Human Rights,2,2,0,0,0.0,0.0
H0366,Phil M. Hernandez,D,871,Marriage,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,1142,Wages,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,4,Administration of Government,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,594,Child Care,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,597,Children,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,721,Firearms,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,785,Human Rights,2,2,0,0,0.0,0.0
H0369,Hillary Pugh Kent,R,871,Marriage,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,125,Courts Not of Record,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,721,Firearms,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,785,Human Rights,2,2,0,0,0.0,0.0
H0370,Karen Keys-Gamarra,D,871,Marriage,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,1160,Workforce,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,18042,Wind Energy,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0371,Amy J. Laufer,D,4,Administration of Government,2,2,0,0,0.0,0.0
