member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0347,"H. Otto Wachsmann, Jr.",R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,118.0,138.0,118.0,136.0,18.0,3.0,8.0,5.0,2.5423728813559325,5.88235294117647,3.3399800598205376,4.0,12.0,8.0,"H. Otto Wachsmann, Jr.","H. Otto Wachsmann, Jr.",R,R
H0333,Jason S. Ballard,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,79.0,92.0,78.0,90.0,12.0,0.0,3.0,3.0,0.0,3.333333333333333,3.333333333333333,0.0,4.0,4.0,Jason S. Ballard,Jason S. Ballard,R,R
H0345,Anne Ferrell Tata,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,98.0,121.0,98.0,118.0,20.0,1.0,5.0,4.0,1.020408163265306,4.23728813559322,3.216879972327914,1.0,6.0,5.0,Anne Ferrell Tata,Anne Ferrell Tata,R,R
H0335,Mike A. Cherry,R,Family and Children,Derived from LIS bill description,Present both years,True,True,69.0,65.0,66.0,65.0,-1.0,1.0,3.0,2.0,1.5151515151515151,4.615384615384616,3.1002331002331007,3.0,4.0,1.0,Mike A. Cherry,Mike A. Cherry,R,R
H0308,Joseph P. McNamara,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,70.0,67.0,69.0,66.0,-3.0,1.0,3.0,2.0,1.4492753623188406,4.545454545454546,3.096179183135705,5.0,4.0,-1.0,Joseph P. McNamara,Joseph P. McNamara,R,R
H0056,Terry G. Kilgore,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,53.0,86.0,51.0,86.0,35.0,2.0,6.0,4.0,3.92156862745098,6.976744186046512,3.055175558595532,2.0,8.0,6.0,Terry G. Kilgore,Terry G. Kilgore,R,R
H0347,"H. Otto Wachsmann, Jr.",R,Energy and Utilities,Derived from LIS bill description,Present both years,True,True,75.0,140.0,75.0,140.0,65.0,2.0,8.0,6.0,2.666666666666667,5.714285714285714,3.0476190476190474,5.0,10.0,5.0,"H. Otto Wachsmann, Jr.","H. Otto Wachsmann, Jr.",R,R
H0357,Will Davis,R,Family and Children,Derived from LIS bill description,Present both years,True,True,53.0,66.0,53.0,66.0,13.0,0.0,2.0,2.0,0.0,3.0303030303030303,3.0303030303030303,1.0,3.0,2.0,Will Davis,Will Davis,R,R
H0262,"James A. ""Jay"" Leftwich",R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,69.0,72.0,69.0,69.0,0.0,1.0,3.0,2.0,1.4492753623188406,4.3478260869565215,2.8985507246376807,9.0,4.0,-5.0,"James A. ""Jay"" Leftwich","James A. ""Jay"" Leftwich",R,R
H0384,Eric Phillips,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,82.0,127.0,79.0,126.0,47.0,4.0,10.0,6.0,5.063291139240507,7.936507936507936,2.873216797267429,5.0,11.0,6.0,Eric Phillips,Eric Phillips,R,R
H0325,Wendell S. Walker,R,Family and Children,Derived from LIS bill description,Present both years,True,True,59.0,71.0,59.0,66.0,7.0,1.0,3.0,2.0,1.694915254237288,4.545454545454546,2.850539291217258,1.0,4.0,3.0,Wendell S. Walker,Wendell S. Walker,R,R
H0284,"Marcia S. ""Cia"" Price",D,Housing,Derived from LIS bill description,Present both years,True,True,73.0,147.0,71.0,142.0,71.0,0.0,4.0,4.0,0.0,2.8169014084507045,2.8169014084507045,3.0,6.0,3.0,"Marcia S. ""Cia"" Price","Marcia S. ""Cia"" Price",D,D
H0284,"Marcia S. ""Cia"" Price",D,Family and Children,Derived from LIS bill description,Present both years,True,True,54.0,73.0,52.0,72.0,20.0,0.0,2.0,2.0,0.0,2.7777777777777777,2.7777777777777777,3.0,2.0,-1.0,"Marcia S. ""Cia"" Price","Marcia S. ""Cia"" Price",D,D
