year,vote_id,member_id,MBR_NAME,MBR_HOU,party,vote,own_party_position,other_party_position,broke_with_party,cross_party,Subject_Id,Subject_Name,eligible_cross_party
2026,26110244,H0354,Katrina Callsen,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0355,Laura Jane Cohen,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0355,Laura Jane Cohen,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0356,Rae Cousins,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0356,Rae Cousins,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0357,Will Davis,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0357,Will Davis,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0360,Michael B. Feggans,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0360,Michael B. Feggans,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0361,Debra D. Gardner,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0361,Debra D. Gardner,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0362,"Thomas A. Garrett, Jr.",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0362,"Thomas A. Garrett, Jr.",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0364,Timothy P. Griffin,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0364,Timothy P. Griffin,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0365,"Rozia A. Henson, Jr.",H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0365,"Rozia A. Henson, Jr.",H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0366,Phil M. Hernandez,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0366,Phil M. Hernandez,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0369,Hillary Pugh Kent,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0369,Hillary Pugh Kent,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0370,Karen Keys-Gamarra,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0370,Karen Keys-Gamarra,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0371,Amy J. Laufer,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0371,Amy J. Laufer,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0372,Destiny LeVere Bolling,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0372,Destiny LeVere Bolling,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0374,Marty Martinez,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0374,Marty Martinez,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0375,Adele Y. McClure,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0375,Adele Y. McClure,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0377,Delores Oates,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0377,Delores Oates,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0380,Atoosa R. Reaser,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0380,Atoosa R. Reaser,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0382,Joshua E. Thomas,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0382,Joshua E. Thomas,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0383,Eric R. Zehr,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0383,Eric R. Zehr,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0384,Eric Phillips,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0384,Eric Phillips,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0385,JJ Singh,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0385,JJ Singh,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0386,Jessica L. Anderson,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0386,Jessica L. Anderson,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0387,"Karen R. ""Kacey"" Carnegie",H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0387,"Karen R. ""Kacey"" Carnegie",H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0388,Stacey Annie Carroll,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0388,Stacey Annie Carroll,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0389,Nicole Cole,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0389,Nicole Cole,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0390,Mitchell Cornett,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0390,Mitchell Cornett,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0391,Lindsey Dougherty,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0391,Lindsey Dougherty,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0392,Mark C. Downey,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0392,Mark C. Downey,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0393,Lily V. Franklin,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0393,Lily V. Franklin,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0394,Karen Hamilton,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0394,Karen Hamilton,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0395,John Chilton McAuliff,H,D,N,Y,N,True,True,445,Trade and Commerce,True
2026,26110244,H0395,John Chilton McAuliff,H,D,N,Y,N,True,True,721,Firearms,True
2026,26110244,H0396,Leslie Chambers Mehta,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0396,Leslie Chambers Mehta,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0397,May Nivar,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0397,May Nivar,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0398,Justin Pence,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0398,Justin Pence,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0399,Kimberly Pope Adams,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0399,Kimberly Pope Adams,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0400,Virgil Thornton,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0400,Virgil Thornton,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0401,Madison Whittle,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0401,Madison Whittle,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0402,Charlie Schmidt,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0402,Charlie Schmidt,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0403,Gretchen M. Bulova,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0403,Gretchen M. Bulova,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0404,Margaret A. Franklin,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0404,Margaret A. Franklin,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0405,Garrett McGuire,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0405,Garrett McGuire,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0056,Terry G. Kilgore,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0056,Terry G. Kilgore,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0108,Vivian E. Watts,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0108,Vivian E. Watts,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0124,R. Lee Ware,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0124,R. Lee Ware,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0136,"Thomas C. Wright, Jr.",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0136,"Thomas C. Wright, Jr.",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0173,Jeion A. Ward,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0173,Jeion A. Ward,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0207,Delores L. McQuinn,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0207,Delores L. McQuinn,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0208,Charniele L. Herring,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0208,Charniele L. Herring,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0212,Betsy B. Carr,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0212,Betsy B. Carr,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0219,Patrick A. Hope,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0219,Patrick A. Hope,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0224,James W. Morefield,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0224,James W. Morefield,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0227,Luke E. Torian,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0227,Luke E. Torian,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0231,Tony O. Wilt,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0231,Tony O. Wilt,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0238,M. Keith Hodges,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0238,M. Keith Hodges,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0239,Alfonso H. Lopez,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110829,H0239,Alfonso H. Lopez,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110829,H0242,Israel D. O'Quinn,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0242,Israel D. O'Quinn,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0247,Michael J. Webert,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0247,Michael J. Webert,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0253,Terry L. Austin,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0253,Terry L. Austin,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110829,H0262,"James A. ""Jay"" Leftwich",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110829,H0262,"James A. ""Jay"" Leftwich",H,R,N,N,Y,False,False,721,Firearms,True
